subject,relation,object
"Strabismus, Unequal refractive error, Cataract in childhood",available in language,"English, Hindi, Bengali, Marathi"
Skin sensitivity to touch,indicates,"Neuropathy, Fibromyalgia, Sunburn"
"Neuropathy, Fibromyalgia, Sunburn",has severity,Moderate
"Neuropathy, Fibromyalgia, Sunburn",lasts for,14 days
"Neuropathy, Fibromyalgia, Sunburn",common in,Pan-India
"Neuropathy, Fibromyalgia, Sunburn",available in language,"English, Hindi, Tamil, Telugu"
Skin thickening,indicates,"Scleroderma, Lymphedema, Chronic eczema"
"Scleroderma, Lymphedema, Chronic eczema",has severity,Moderate
"Scleroderma, Lymphedema, Chronic eczema",lasts for,180 days
"Scleroderma, Lymphedema, Chronic eczema",common in,Pan-India
"Scleroderma, Lymphedema, Chronic eczema",available in language,"English, Hindi, Bengali, Malayalam"
Skin thinning,indicates,"Aging, Long-term steroid use, Cushing's syndrome"
"Aging, Long-term steroid use, Cushing's syndrome",has severity,Mild
"Aging, Long-term steroid use, Cushing's syndrome",lasts for,180 days
"Aging, Long-term steroid use, Cushing's syndrome",common in,Pan-India
"Aging, Long-term steroid use, Cushing's syndrome",available in language,"English, Hindi, Tamil, Kannada"
Stretch marks (Striae),indicates,"Rapid weight gain/loss, Pregnancy, Cushing's syndrome"
"Rapid weight gain/loss, Pregnancy, Cushing's syndrome",has severity,Mild
"Rapid weight gain/loss, Pregnancy, Cushing's syndrome",lasts for,365 days
"Rapid weight gain/loss, Pregnancy, Cushing's syndrome",common in,Pan-India
"Rapid weight gain/loss, Pregnancy, Cushing's syndrome",available in language,"English, Hindi, Bengali, Marathi"
Purple spots on skin (Purpura),indicates,"Vasculitis, Bleeding disorders, Medication reaction"
"Vasculitis, Bleeding disorders, Medication reaction",has severity,Moderate
"Vasculitis, Bleeding disorders, Medication reaction",lasts for,14 days
"Vasculitis, Bleeding disorders, Medication reaction",common in,Pan-India
"Vasculitis, Bleeding disorders, Medication reaction",available in language,"English, Hindi, Tamil, Telugu"
Pinpoint red spots on skin (Petechiae),indicates,"Thrombocytopenia, Infection (meningitis, sepsis), Leukemia"
"Thrombocytopenia, Infection (meningitis, sepsis), Leukemia",has severity,Severe
"Thrombocytopenia, Infection (meningitis, sepsis), Leukemia",lasts for,7 days
"Thrombocytopenia, Infection (meningitis, sepsis), Leukemia",common in,Pan-India
"Thrombocytopenia, Infection (meningitis, sepsis), Leukemia",available in language,"English, Hindi, Bengali, Malayalam"
Yellow bumps on skin (Xanthomas),indicates,"High cholesterol, Diabetes"
"High cholesterol, Diabetes",has severity,Mild
"High cholesterol, Diabetes",lasts for,90 days
"High cholesterol, Diabetes",common in,Pan-India
"High cholesterol, Diabetes",available in language,"English, Hindi, Tamil, Kannada"
Pearly or waxy bump on skin,indicates,"Basal cell carcinoma, Sebaceous hyperplasia"
"Basal cell carcinoma, Sebaceous hyperplasia",has severity,Moderate
"Basal cell carcinoma, Sebaceous hyperplasia",lasts for,180 days
"Basal cell carcinoma, Sebaceous hyperplasia",common in,Pan-India
"Basal cell carcinoma, Sebaceous hyperplasia",available in language,"English, Hindi, Bengali, Marathi"
Firm red nodule on skin,indicates,"Squamous cell carcinoma, Keratoacanthoma"
"Squamous cell carcinoma, Keratoacanthoma",has severity,Moderate
"Squamous cell carcinoma, Keratoacanthoma",lasts for,90 days
"Squamous cell carcinoma, Keratoacanthoma",common in,Pan-India
"Squamous cell carcinoma, Keratoacanthoma",available in language,"English, Hindi, Tamil, Telugu"
Sore that does not heal,indicates,"Skin cancer (basal cell, squamous cell), Chronic infection"
"Skin cancer (basal cell, squamous cell), Chronic infection",has severity,Severe
"Skin cancer (basal cell, squamous cell), Chronic infection",lasts for,30 days
"Skin cancer (basal cell, squamous cell), Chronic infection",common in,Pan-India
"Skin cancer (basal cell, squamous cell), Chronic infection",available in language,"English, Hindi, Tamil, Kannada"
Loss of pigment in patches (Vitiligo),indicates,Autoimmune condition
Autoimmune condition,has severity,Mild
Autoimmune condition,lasts for,3650 days
Autoimmune condition,common in,Pan-India
Autoimmune condition,available in language,"English, Hindi, Bengali, Marathi"
Darkening of skin creases,indicates,"Addison's disease, Acanthosis nigricans (insulin resistance)"
"Addison's disease, Acanthosis nigricans (insulin resistance)",has severity,Moderate
"Addison's disease, Acanthosis nigricans (insulin resistance)",lasts for,90 days
"Addison's disease, Acanthosis nigricans (insulin resistance)",common in,Pan-India
"Addison's disease, Acanthosis nigricans (insulin resistance)",available in language,"English, Hindi, Tamil, Telugu"
Bronze skin,indicates,"Hemochromatosis, Addison's disease"
"Hemochromatosis, Addison's disease",has severity,Moderate
"Hemochromatosis, Addison's disease",lasts for,180 days
"Hemochromatosis, Addison's disease",common in,Pan-India
"Hemochromatosis, Addison's disease",available in language,"English, Hindi, Bengali, Malayalam"
Butterfly rash across face,indicates,Systemic lupus erythematosus (SLE)
Systemic lupus erythematosus (SLE),has severity,Moderate
Systemic lupus erythematosus (SLE),lasts for,30 days
Systemic lupus erythematosus (SLE),common in,Pan-India
Systemic lupus erythematosus (SLE),available in language,"English, Hindi, Tamil, Kannada"
Raynaud's phenomenon (fingers change color in cold),indicates,"Raynaud's disease, Scleroderma, Lupus"
"Raynaud's disease, Scleroderma, Lupus",has severity,Mild
"Raynaud's disease, Scleroderma, Lupus",lasts for,14 days
"Raynaud's disease, Scleroderma, Lupus",common in,North India
"Raynaud's disease, Scleroderma, Lupus",available in language,"English, Hindi, Punjabi, Urdu"
Joint deformities,indicates,"Rheumatoid arthritis, Osteoarthritis"
"Rheumatoid arthritis, Osteoarthritis",has severity,Severe
"Rheumatoid arthritis, Osteoarthritis",lasts for,365 days
"Rheumatoid arthritis, Osteoarthritis",common in,Pan-India
"Rheumatoid arthritis, Osteoarthritis",available in language,"English, Hindi, Bengali, Malayalam"
Reduced range of motion in joints,indicates,"Arthritis, Injury, Frozen shoulder"
"Arthritis, Injury, Frozen shoulder",has severity,Moderate
"Arthritis, Injury, Frozen shoulder",lasts for,30 days
"Arthritis, Injury, Frozen shoulder",common in,Pan-India
"Arthritis, Injury, Frozen shoulder",available in language,"English, Hindi, Tamil, Kannada"
Bone pain,indicates,"Osteoporosis (fracture), Bone cancer, Paget's disease"
"Osteoporosis (fracture), Bone cancer, Paget's disease",has severity,Severe
"Osteoporosis (fracture), Bone cancer, Paget's disease",lasts for,21 days
"Osteoporosis (fracture), Bone cancer, Paget's disease",common in,Pan-India
"Osteoporosis (fracture), Bone cancer, Paget's disease",available in language,"English, Hindi, Bengali, Marathi"
Curvature of the spine,indicates,"Scoliosis, Kyphosis, Osteoporosis"
"Scoliosis, Kyphosis, Osteoporosis",has severity,Moderate
"Scoliosis, Kyphosis, Osteoporosis",lasts for,365 days
"Scoliosis, Kyphosis, Osteoporosis",common in,Pan-India
"Scoliosis, Kyphosis, Osteoporosis",available in language,"English, Hindi, Tamil, Telugu"
Loss of height,indicates,"Osteoporosis (vertebral fractures), Degenerative disc disease"
"Osteoporosis (vertebral fractures), Degenerative disc disease",has severity,Moderate
"Osteoporosis (vertebral fractures), Degenerative disc disease",lasts for,365 days
"Osteoporosis (vertebral fractures), Degenerative disc disease",common in,Pan-India
"Osteoporosis (vertebral fractures), Degenerative disc disease",available in language,"English, Hindi, Bengali, Malayalam"
Feeling cold all the time,indicates,"Hypothyroidism, Anemia, Poor circulation"
"Hypothyroidism, Anemia, Poor circulation",has severity,Mild
"Hypothyroidism, Anemia, Poor circulation",lasts for,30 days
"Hypothyroidism, Anemia, Poor circulation",common in,North India
"Hypothyroidism, Anemia, Poor circulation",available in language,"English, Hindi, Punjabi, Urdu"
Feeling hot all the time,indicates,"Hyperthyroidism, Menopause, Anxiety"
"Hyperthyroidism, Menopause, Anxiety",has severity,Mild
"Hyperthyroidism, Menopause, Anxiety",lasts for,21 days
"Hyperthyroidism, Menopause, Anxiety",common in,Pan-India
"Hyperthyroidism, Menopause, Anxiety",available in language,"English, Hindi, Tamil, Kannada"
Pounding heart,indicates,"Palpitations, Anxiety, Arrhythmia"
"Palpitations, Anxiety, Arrhythmia",has severity,Moderate
"Palpitations, Anxiety, Arrhythmia",lasts for,1 days
"Palpitations, Anxiety, Arrhythmia",common in,Pan-India
"Palpitations, Anxiety, Arrhythmia",available in language,"English, Hindi, Bengali, Marathi"
Skipped heartbeats,indicates,"Premature atrial/ventricular contractions (PACs/PVCs), Anxiety"
"Premature atrial/ventricular contractions (PACs/PVCs), Anxiety",has severity,Mild
"Premature atrial/ventricular contractions (PACs/PVCs), Anxiety",lasts for,1 days
"Premature atrial/ventricular contractions (PACs/PVCs), Anxiety",common in,Pan-India
"Premature atrial/ventricular contractions (PACs/PVCs), Anxiety",available in language,"English, Hindi, Tamil, Telugu"
Rapid heartbeat (Tachycardia),indicates,"Anxiety, Arrhythmia (SVT, Afib), Hyperthyroidism"
"Anxiety, Arrhythmia (SVT, Afib), Hyperthyroidism",has severity,Moderate
"Anxiety, Arrhythmia (SVT, Afib), Hyperthyroidism",lasts for,1 days
"Anxiety, Arrhythmia (SVT, Afib), Hyperthyroidism",common in,Pan-India
"Anxiety, Arrhythmia (SVT, Afib), Hyperthyroidism",available in language,"English, Hindi, Bengali, Malayalam"
Slow heartbeat (Bradycardia),indicates,"Heart block, Sick sinus syndrome, Medications"
"Heart block, Sick sinus syndrome, Medications",has severity,Moderate
"Heart block, Sick sinus syndrome, Medications",lasts for,1 days
"Heart block, Sick sinus syndrome, Medications",common in,Pan-India
"Heart block, Sick sinus syndrome, Medications",available in language,"English, Hindi, Tamil, Kannada"
Swelling in legs and ankles,indicates,"Heart failure, Kidney disease, Venous insufficiency"
"Heart failure, Kidney disease, Venous insufficiency",has severity,Moderate
"Heart failure, Kidney disease, Venous insufficiency",lasts for,14 days
"Heart failure, Kidney disease, Venous insufficiency",common in,Pan-India
"Heart failure, Kidney disease, Venous insufficiency",available in language,"English, Hindi, Bengali, Marathi"
Swelling in abdomen (Ascites),indicates,"Liver cirrhosis, Heart failure, Kidney disease"
"Liver cirrhosis, Heart failure, Kidney disease",has severity,Severe
"Liver cirrhosis, Heart failure, Kidney disease",lasts for,21 days
"Liver cirrhosis, Heart failure, Kidney disease",common in,Pan-India
"Liver cirrhosis, Heart failure, Kidney disease",available in language,"English, Hindi, Tamil, Telugu"
Prominent neck veins,indicates,"Heart failure, Superior vena cava obstruction"
"Heart failure, Superior vena cava obstruction",has severity,Severe
"Heart failure, Superior vena cava obstruction",lasts for,14 days
"Heart failure, Superior vena cava obstruction",common in,Pan-India
"Heart failure, Superior vena cava obstruction",available in language,"English, Hindi, Bengali, Malayalam"
Calf pain when walking (Claudication),indicates,Peripheral artery disease
Peripheral artery disease,has severity,Moderate
Peripheral artery disease,lasts for,14 days
Peripheral artery disease,common in,Pan-India
Peripheral artery disease,available in language,"English, Hindi, Tamil, Kannada"
Sores on feet or legs that heal slowly,indicates,"Peripheral artery disease, Diabetes"
"Peripheral artery disease, Diabetes",has severity,Severe
"Peripheral artery disease, Diabetes",lasts for,60 days
"Peripheral artery disease, Diabetes",common in,Pan-India
"Peripheral artery disease, Diabetes",available in language,"English, Hindi, Bengali, Marathi"
One leg swollen and painful,indicates,"Deep vein thrombosis (DVT), Cellulitis"
"Deep vein thrombosis (DVT), Cellulitis",has severity,Severe
"Deep vein thrombosis (DVT), Cellulitis",lasts for,5 days
"Deep vein thrombosis (DVT), Cellulitis",common in,Pan-India
"Deep vein thrombosis (DVT), Cellulitis",available in language,"English, Hindi, Bengali, Malayalam"
Headache worse in the morning,indicates,"Brain tumor, Sleep apnea, High blood pressure"
"Brain tumor, Sleep apnea, High blood pressure",has severity,Moderate
"Brain tumor, Sleep apnea, High blood pressure",lasts for,14 days
"Brain tumor, Sleep apnea, High blood pressure",common in,Pan-India
"Brain tumor, Sleep apnea, High blood pressure",available in language,"English, Hindi, Bengali, Marathi"
Headache with fever and stiff neck,indicates,Meningitis
Meningitis,has severity,Severe
Meningitis,lasts for,3 days
Meningitis,common in,Pan-India
Meningitis,available in language,"English, Hindi, Tamil, Telugu"
Headache after head injury,indicates,"Concussion, Subdural hematoma"
"Concussion, Subdural hematoma",has severity,Moderate
"Concussion, Subdural hematoma",lasts for,7 days
"Concussion, Subdural hematoma",common in,Pan-India
"Concussion, Subdural hematoma",available in language,"English, Hindi, Bengali, Malayalam"
Band-like pressure around head,indicates,Tension headache
Tension headache,has severity,Mild
Tension headache,lasts for,3 days
Tension headache,common in,Pan-India
Tension headache,available in language,"English, Hindi, Bengali, Marathi"
Severe pain around one eye,indicates,Cluster headache
Cluster headache,has severity,Severe
Cluster headache,lasts for,1 days
Cluster headache,common in,Pan-India
Cluster headache,available in language,"English, Hindi, Tamil, Telugu"
Tenderness of scalp,indicates,"Temporal arteritis, Tension headache"
"Temporal arteritis, Tension headache",has severity,Moderate
"Temporal arteritis, Tension headache",lasts for,7 days
"Temporal arteritis, Tension headache",common in,Pan-India
"Temporal arteritis, Tension headache",available in language,"English, Hindi, Bengali, Malayalam"
General malaise (feeling unwell),indicates,"Viral infection, Chronic fatigue syndrome, Anemia"
"Viral infection, Chronic fatigue syndrome, Anemia",has severity,Mild
"Viral infection, Chronic fatigue syndrome, Anemia",lasts for,7 days
"Viral infection, Chronic fatigue syndrome, Anemia",common in,Pan-India
"Viral infection, Chronic fatigue syndrome, Anemia",available in language,"English, Hindi, Tamil, Kannada"
Chills,indicates,"Fever, Infection, Hypothermia"
"Fever, Infection, Hypothermia",has severity,Moderate
"Fever, Infection, Hypothermia",lasts for,3 days
"Fever, Infection, Hypothermia",common in,Pan-India
"Fever, Infection, Hypothermia",available in language,"English, Hindi, Bengali, Marathi"
Fever that comes and goes,indicates,"Malaria, Tuberculosis, Lymphoma"
"Malaria, Tuberculosis, Lymphoma",has severity,Moderate
"Malaria, Tuberculosis, Lymphoma",lasts for,14 days
"Malaria, Tuberculosis, Lymphoma",common in,Pan-India
"Malaria, Tuberculosis, Lymphoma",available in language,"English, Hindi, Tamil, Telugu"
